# M5 命令子图（P5/P6 结构基础：触觉 PLM/ALM/PVM/AVM + 命令 AVA/AVD/AVB/PVC + 运动 DA/DB/VA/VB + 肌肉；Cook 2019）
"# 列：role, neuron_class, neurotransmitter, synapse_from, synapse_to, synapse_type, g_max_ns, delay_ms, note"
,,glut,AVAR,DA1,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA2,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA3,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA4,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA5,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA6,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA7,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA8,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DA9,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DB2,chem,5.00,0.50,subgraph chem
,,glut,AVAR,DB3,chem,5.00,0.50,subgraph chem
,,glut,AVAR,PVCL,chem,5.00,0.50,subgraph chem
,,glut,AVAR,PVCR,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA10,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA11,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA2,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA3,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA4,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA5,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA6,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA7,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA8,chem,5.00,0.50,subgraph chem
,,glut,AVAR,VA9,chem,5.00,0.50,subgraph chem
,,ach,AVBL,AVAL,chem,5.00,0.50,subgraph chem
,,ach,AVBL,AVAR,chem,5.00,0.50,subgraph chem
,,ach,AVBL,AVBR,chem,5.00,0.50,subgraph chem
,,ach,AVBL,AVDR,chem,5.00,0.50,subgraph chem
,,ach,AVBL,DA5,chem,5.00,0.50,subgraph chem
,,ach,AVBL,DA7,chem,5.00,0.50,subgraph chem
,,ach,AVBL,PVCR,chem,5.00,0.50,subgraph chem
,,ach,AVBL,VA10,chem,5.00,0.50,subgraph chem
,,ach,AVBL,VA2,chem,5.00,0.50,subgraph chem
,,ach,AVBL,VB2,chem,5.00,0.50,subgraph chem
,,ach,AVBR,AVAL,chem,5.00,0.50,subgraph chem
,,ach,AVBR,AVAR,chem,5.00,0.50,subgraph chem
,,ach,AVBR,AVBL,chem,5.00,0.50,subgraph chem
,,ach,AVBR,AVDL,chem,5.00,0.50,subgraph chem
,,ach,AVBR,DA3,chem,5.00,0.50,subgraph chem
,,ach,AVBR,DA4,chem,5.00,0.50,subgraph chem
,,ach,AVBR,DA7,chem,5.00,0.50,subgraph chem
,,ach,AVBR,DB4,chem,5.00,0.50,subgraph chem
,,ach,AVBR,VA3,chem,5.00,0.50,subgraph chem
,,ach,AVBR,VA4,chem,5.00,0.50,subgraph chem
,,glut,AVDL,AVAL,chem,5.00,0.50,subgraph chem
,,glut,AVDL,AVAR,chem,5.00,0.50,subgraph chem
,,glut,AVDL,AVDR,chem,5.00,0.50,subgraph chem
,,glut,AVDL,DA1,chem,5.00,0.50,subgraph chem
,,glut,AVDL,DA2,chem,5.00,0.50,subgraph chem
,,glut,AVDL,DA3,chem,5.00,0.50,subgraph chem
,,glut,AVDL,DA4,chem,5.00,0.50,subgraph chem
,,glut,AVDL,DA5,chem,5.00,0.50,subgraph chem
,,glut,AVDL,DA8,chem,5.00,0.50,subgraph chem
,,glut,AVDL,PVCL,chem,5.00,0.50,subgraph chem
,,glut,AVDL,VA10,chem,5.00,0.50,subgraph chem
,,glut,AVDL,VA12,chem,5.00,0.50,subgraph chem
,,glut,AVDL,VA3,chem,5.00,0.50,subgraph chem
,,glut,AVDL,VA5,chem,5.00,0.50,subgraph chem
,,glut,AVDR,AVAL,chem,5.00,0.50,subgraph chem
,,glut,AVDR,AVAR,chem,5.00,0.50,subgraph chem
,,glut,AVDR,AVBL,chem,5.00,0.50,subgraph chem
,,glut,AVDR,AVDL,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DA1,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DA2,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DA3,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DA4,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DA5,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DA8,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DB1,chem,5.00,0.50,subgraph chem
,,glut,AVDR,DB4,chem,5.00,0.50,subgraph chem
,,glut,AVDR,PVCR,chem,5.00,0.50,subgraph chem
,,glut,AVDR,VA11,chem,5.00,0.50,subgraph chem
,,glut,AVDR,VA2,chem,5.00,0.50,subgraph chem
,,glut,AVDR,VA3,chem,5.00,0.50,subgraph chem
,,glut,AVDR,VA5,chem,5.00,0.50,subgraph chem
,,glut,AVM,AVBL,chem,5.00,0.50,subgraph chem
,,glut,AVM,AVBR,chem,5.00,0.50,subgraph chem
,,glut,AVM,AVDL,chem,5.00,0.50,subgraph chem
,,glut,AVM,AVDR,chem,5.00,0.50,subgraph chem
,,glut,AVM,DA1,chem,5.00,0.50,subgraph chem
,,glut,AVM,PVCL,chem,5.00,0.50,subgraph chem
,,glut,AVM,PVCR,chem,5.00,0.50,subgraph chem
,,glut,AVM,VA2,chem,5.00,0.50,subgraph chem
,,glut,AVM,VB3,chem,5.00,0.50,subgraph chem
,,ach,DA1,DB1,chem,5.00,0.50,subgraph chem
,,ach,DA2,DA3,chem,5.00,0.50,subgraph chem
,,ach,DA2,DB1,chem,5.00,0.50,subgraph chem
,,ach,DA3,DA4,chem,5.00,0.50,subgraph chem
,,ach,DA3,DB3,chem,5.00,0.50,subgraph chem
,,ach,DA4,DB2,chem,5.00,0.50,subgraph chem
,,ach,DA5,DA4,chem,5.00,0.50,subgraph chem
,,ach,DA5,DB4,chem,5.00,0.50,subgraph chem
,,ach,DA6,DA5,chem,5.00,0.50,subgraph chem
,,ach,DA6,DB5,chem,5.00,0.50,subgraph chem
,,ach,DA7,DA6,chem,5.00,0.50,subgraph chem
,,ach,DA7,DB6,chem,5.00,0.50,subgraph chem
,,ach,DA8,DA7,chem,5.00,0.50,subgraph chem
,,ach,DA8,DB7,chem,5.00,0.50,subgraph chem
,,ach,DA9,DA8,chem,5.00,0.50,subgraph chem
,,ach,DA9,DB7,chem,5.00,0.50,subgraph chem
,,ach,DA9,VA12,chem,5.00,0.50,subgraph chem
,,ach,DB1,DA1,chem,5.00,0.50,subgraph chem
,,ach,DB1,DA2,chem,5.00,0.50,subgraph chem
,,ach,DB2,DA2,chem,5.00,0.50,subgraph chem
,,ach,DB2,DA3,chem,5.00,0.50,subgraph chem
,,ach,DB2,DA4,chem,5.00,0.50,subgraph chem
,,ach,DB3,DA4,chem,5.00,0.50,subgraph chem
,,ach,DB3,DA5,chem,5.00,0.50,subgraph chem
,,ach,DB4,DA5,chem,5.00,0.50,subgraph chem
,,ach,DB5,DA6,chem,5.00,0.50,subgraph chem
,,ach,DB5,DA7,chem,5.00,0.50,subgraph chem
,,ach,DB5,DA8,chem,5.00,0.50,subgraph chem
,,ach,DB6,DA8,chem,5.00,0.50,subgraph chem
,,ach,DB6,DA9,chem,5.00,0.50,subgraph chem
,,ach,DB7,DA9,chem,5.00,0.50,subgraph chem
,,ach,PVCL,AVAL,chem,5.00,0.50,subgraph chem
,,ach,PVCL,AVAR,chem,5.00,0.50,subgraph chem
,,ach,PVCL,AVBL,chem,5.00,0.50,subgraph chem
,,ach,PVCL,AVBR,chem,5.00,0.50,subgraph chem
,,ach,PVCL,AVDL,chem,5.00,0.50,subgraph chem
,,ach,PVCL,AVDR,chem,5.00,0.50,subgraph chem
,,ach,PVCL,DA5,chem,5.00,0.50,subgraph chem
,,ach,PVCL,DA8,chem,5.00,0.50,subgraph chem
,,ach,PVCL,DB2,chem,5.00,0.50,subgraph chem
,,ach,PVCL,DB3,chem,5.00,0.50,subgraph chem
,,ach,PVCL,DB4,chem,5.00,0.50,subgraph chem
,,ach,PVCL,DB7,chem,5.00,0.50,subgraph chem
,,ach,PVCL,PVCL,chem,5.00,0.50,subgraph chem
,,ach,PVCL,PVCR,chem,5.00,0.50,subgraph chem
,,ach,PVCL,VA11,chem,5.00,0.50,subgraph chem
,,ach,PVCL,VB11,chem,5.00,0.50,subgraph chem
,,ach,PVCL,VB4,chem,5.00,0.50,subgraph chem
,,ach,PVCL,VB6,chem,5.00,0.50,subgraph chem
,,ach,PVCR,AVAL,chem,5.00,0.50,subgraph chem
,,ach,PVCR,AVAR,chem,5.00,0.50,subgraph chem
,,ach,PVCR,AVBL,chem,5.00,0.50,subgraph chem
,,ach,PVCR,AVBR,chem,5.00,0.50,subgraph chem
,,ach,PVCR,AVDL,chem,5.00,0.50,subgraph chem
,,ach,PVCR,AVDR,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DA2,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DA4,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DA5,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DA7,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DB2,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DB3,chem,5.00,0.50,subgraph chem
,,ach,PVCR,DB4,chem,5.00,0.50,subgraph chem
,,ach,PVCR,PVCL,chem,5.00,0.50,subgraph chem
,,ach,PVCR,VB11,chem,5.00,0.50,subgraph chem
,,ach,PVCR,VB3,chem,5.00,0.50,subgraph chem
,,ach,PVCR,VB4,chem,5.00,0.50,subgraph chem
,,ach,PVCR,VB6,chem,5.00,0.50,subgraph chem
,,glut,PVM,AVM,chem,5.00,0.50,subgraph chem
,,glut,PVM,PVCL,chem,5.00,0.50,subgraph chem
,,glut,PVM,PVCR,chem,5.00,0.50,subgraph chem
,,ach,VA1,DA2,chem,5.00,0.50,subgraph chem
,,ach,VA10,VB8,chem,5.00,0.50,subgraph chem
,,ach,VA10,VB9,chem,5.00,0.50,subgraph chem
,,ach,VA11,VB10,chem,5.00,0.50,subgraph chem
,,ach,VA12,AVAL,chem,5.00,0.50,subgraph chem
,,ach,VA12,DA8,chem,5.00,0.50,subgraph chem
,,ach,VA12,DA9,chem,5.00,0.50,subgraph chem
,,ach,VA12,DB7,chem,5.00,0.50,subgraph chem
,,ach,VA12,PVCL,chem,5.00,0.50,subgraph chem
,,ach,VA12,PVCR,chem,5.00,0.50,subgraph chem
,,ach,VA12,VA11,chem,5.00,0.50,subgraph chem
,,ach,VA12,VB11,chem,5.00,0.50,subgraph chem
,,ach,VA2,AVAL,chem,5.00,0.50,subgraph chem
,,ach,VA2,VA1,chem,5.00,0.50,subgraph chem
,,ach,VA2,VA3,chem,5.00,0.50,subgraph chem
,,ach,VA2,VB1,chem,5.00,0.50,subgraph chem
,,ach,VA2,VB2,chem,5.00,0.50,subgraph chem
,,ach,VA3,VA4,chem,5.00,0.50,subgraph chem
,,ach,VA3,VB2,chem,5.00,0.50,subgraph chem
,,ach,VA3,VB3,chem,5.00,0.50,subgraph chem
,,ach,VA4,AVAR,chem,5.00,0.50,subgraph chem
,,ach,VA4,AVDL,chem,5.00,0.50,subgraph chem
,,ach,VA4,VB3,chem,5.00,0.50,subgraph chem
,,ach,VA4,VB4,chem,5.00,0.50,subgraph chem
,,ach,VA5,VA6,chem,5.00,0.50,subgraph chem
,,ach,VA5,VB4,chem,5.00,0.50,subgraph chem
,,ach,VA6,AVAR,chem,5.00,0.50,subgraph chem
,,ach,VA6,VA5,chem,5.00,0.50,subgraph chem
,,ach,VA6,VB4,chem,5.00,0.50,subgraph chem
,,ach,VA6,VB5,chem,5.00,0.50,subgraph chem
,,ach,VA7,VB6,chem,5.00,0.50,subgraph chem
,,ach,VA8,VB6,chem,5.00,0.50,subgraph chem
,,ach,VA9,VB7,chem,5.00,0.50,subgraph chem
,,ach,VA9,VB8,chem,5.00,0.50,subgraph chem
,,ach,VB1,VA1,chem,5.00,0.50,subgraph chem
,,ach,VB1,VA2,chem,5.00,0.50,subgraph chem
,,ach,VB1,VA3,chem,5.00,0.50,subgraph chem
,,ach,VB1,VA4,chem,5.00,0.50,subgraph chem
,,ach,VB10,VA11,chem,5.00,0.50,subgraph chem
,,ach,VB11,PVCR,chem,5.00,0.50,subgraph chem
,,ach,VB11,VA12,chem,5.00,0.50,subgraph chem
,,ach,VB2,VA2,chem,5.00,0.50,subgraph chem
,,ach,VB2,VA3,chem,5.00,0.50,subgraph chem
,,ach,VB3,VA4,chem,5.00,0.50,subgraph chem
,,ach,VB3,VA5,chem,5.00,0.50,subgraph chem
,,ach,VB4,VA4,chem,5.00,0.50,subgraph chem
,,ach,VB4,VA5,chem,5.00,0.50,subgraph chem
,,ach,VB4,VB5,chem,5.00,0.50,subgraph chem
,,ach,VB5,VA6,chem,5.00,0.50,subgraph chem
,,ach,VB6,VA7,chem,5.00,0.50,subgraph chem
,,ach,VB6,VA8,chem,5.00,0.50,subgraph chem
,,ach,VB7,VA10,chem,5.00,0.50,subgraph chem
,,ach,VB7,VA9,chem,5.00,0.50,subgraph chem
,,ach,VB8,VA11,chem,5.00,0.50,subgraph chem
,,ach,VB9,VA11,chem,5.00,0.50,subgraph chem
,,,ALML,AVM,gap,,0.05,subgraph gap
,,,ALMR,AVDR,gap,,0.05,subgraph gap
,,,ALMR,AVM,gap,,0.05,subgraph gap
,,,AVAL,AVAR,gap,,0.05,subgraph gap
,,,AVAL,AVDL,gap,,0.05,subgraph gap
,,,AVAL,AVDR,gap,,0.05,subgraph gap
,,,AVAL,DA1,gap,,0.05,subgraph gap
,,,AVAL,DA2,gap,,0.05,subgraph gap
,,,AVAL,DA3,gap,,0.05,subgraph gap
,,,AVAL,DA4,gap,,0.05,subgraph gap
,,,AVAL,DA5,gap,,0.05,subgraph gap
,,,AVAL,DA6,gap,,0.05,subgraph gap
,,,AVAL,DA7,gap,,0.05,subgraph gap
,,,AVAL,DA8,gap,,0.05,subgraph gap
,,,AVAL,DA9,gap,,0.05,subgraph gap
,,,AVAL,PVCL,gap,,0.05,subgraph gap
,,,AVAL,PVCR,gap,,0.05,subgraph gap
,,,AVAL,VA1,gap,,0.05,subgraph gap
,,,AVAL,VA10,gap,,0.05,subgraph gap
,,,AVAL,VA11,gap,,0.05,subgraph gap
,,,AVAL,VA2,gap,,0.05,subgraph gap
,,,AVAL,VA3,gap,,0.05,subgraph gap
,,,AVAL,VA4,gap,,0.05,subgraph gap
,,,AVAL,VA5,gap,,0.05,subgraph gap
,,,AVAL,VA6,gap,,0.05,subgraph gap
,,,AVAL,VA7,gap,,0.05,subgraph gap
,,,AVAL,VA8,gap,,0.05,subgraph gap
,,,AVAL,VA9,gap,,0.05,subgraph gap
,,,AVAL,VB11,gap,,0.05,subgraph gap
,,,AVAR,AVBL,gap,,0.05,subgraph gap
,,,AVAR,AVDL,gap,,0.05,subgraph gap
,,,AVAR,AVDR,gap,,0.05,subgraph gap
,,,AVAR,DA1,gap,,0.05,subgraph gap
,,,AVAR,DA2,gap,,0.05,subgraph gap
,,,AVAR,DA3,gap,,0.05,subgraph gap
,,,AVAR,DA4,gap,,0.05,subgraph gap
,,,AVAR,DA5,gap,,0.05,subgraph gap
,,,AVAR,DA6,gap,,0.05,subgraph gap
,,,AVAR,DA8,gap,,0.05,subgraph gap
,,,AVAR,DA9,gap,,0.05,subgraph gap
,,,AVAR,PVCL,gap,,0.05,subgraph gap
,,,AVAR,PVCR,gap,,0.05,subgraph gap
,,,AVAR,VA1,gap,,0.05,subgraph gap
,,,AVAR,VA10,gap,,0.05,subgraph gap
,,,AVAR,VA11,gap,,0.05,subgraph gap
,,,AVAR,VA12,gap,,0.05,subgraph gap
,,,AVAR,VA3,gap,,0.05,subgraph gap
,,,AVAR,VA4,gap,,0.05,subgraph gap
,,,AVAR,VA5,gap,,0.05,subgraph gap
,,,AVAR,VA7,gap,,0.05,subgraph gap
,,,AVAR,VA8,gap,,0.05,subgraph gap
,,,AVAR,VA9,gap,,0.05,subgraph gap
,,,AVBL,AVBR,gap,,0.05,subgraph gap
,,,AVBL,DB2,gap,,0.05,subgraph gap
,,,AVBL,DB3,gap,,0.05,subgraph gap
,,,AVBL,DB4,gap,,0.05,subgraph gap
,,,AVBL,DB5,gap,,0.05,subgraph gap
,,,AVBL,DB6,gap,,0.05,subgraph gap
,,,AVBL,DB7,gap,,0.05,subgraph gap
,,,AVBL,VA11,gap,,0.05,subgraph gap
,,,AVBL,VB1,gap,,0.05,subgraph gap
,,,AVBL,VB10,gap,,0.05,subgraph gap
,,,AVBL,VB11,gap,,0.05,subgraph gap
,,,AVBL,VB2,gap,,0.05,subgraph gap
,,,AVBL,VB4,gap,,0.05,subgraph gap
,,,AVBL,VB5,gap,,0.05,subgraph gap
,,,AVBL,VB6,gap,,0.05,subgraph gap
,,,AVBL,VB7,gap,,0.05,subgraph gap
,,,AVBL,VB8,gap,,0.05,subgraph gap
,,,AVBL,VB9,gap,,0.05,subgraph gap
,,,AVBR,DB1,gap,,0.05,subgraph gap
,,,AVBR,DB2,gap,,0.05,subgraph gap
,,,AVBR,DB3,gap,,0.05,subgraph gap
,,,AVBR,DB4,gap,,0.05,subgraph gap
,,,AVBR,DB5,gap,,0.05,subgraph gap
,,,AVBR,DB6,gap,,0.05,subgraph gap
,,,AVBR,DB7,gap,,0.05,subgraph gap
,,,AVBR,VA11,gap,,0.05,subgraph gap
,,,AVBR,VB10,gap,,0.05,subgraph gap
,,,AVBR,VB11,gap,,0.05,subgraph gap
,,,AVBR,VB2,gap,,0.05,subgraph gap
,,,AVBR,VB3,gap,,0.05,subgraph gap
,,,AVBR,VB4,gap,,0.05,subgraph gap
,,,AVBR,VB5,gap,,0.05,subgraph gap
,,,AVBR,VB6,gap,,0.05,subgraph gap
,,,AVBR,VB7,gap,,0.05,subgraph gap
,,,AVBR,VB8,gap,,0.05,subgraph gap
,,,AVBR,VB9,gap,,0.05,subgraph gap
,,,AVDL,AVDR,gap,,0.05,subgraph gap
,,,AVDL,AVM,gap,,0.05,subgraph gap
,,,AVDL,VA10,gap,,0.05,subgraph gap
,,,AVDR,PVCR,gap,,0.05,subgraph gap
,,,DA1,DA2,gap,,0.05,subgraph gap
,,,DA2,DA5,gap,,0.05,subgraph gap
,,,DA2,VA1,gap,,0.05,subgraph gap
,,,DA2,VA6,gap,,0.05,subgraph gap
,,,DA3,DA4,gap,,0.05,subgraph gap
,,,DA3,DA5,gap,,0.05,subgraph gap
,,,DA3,VA2,gap,,0.05,subgraph gap
,,,DA3,VA6,gap,,0.05,subgraph gap
,,,DA4,PVCL,gap,,0.05,subgraph gap
,,,DA4,VA3,gap,,0.05,subgraph gap
,,,DA7,DA8,gap,,0.05,subgraph gap
,,,DA7,PVCL,gap,,0.05,subgraph gap
,,,DA7,PVCR,gap,,0.05,subgraph gap
,,,DA8,DA9,gap,,0.05,subgraph gap
,,,DA8,PVCL,gap,,0.05,subgraph gap
,,,DA8,PVCR,gap,,0.05,subgraph gap
,,,DA8,VA10,gap,,0.05,subgraph gap
,,,DA8,VA12,gap,,0.05,subgraph gap
,,,DA9,PVCR,gap,,0.05,subgraph gap
,,,DA9,VA10,gap,,0.05,subgraph gap
,,,DA9,VA11,gap,,0.05,subgraph gap
,,,DA9,VA12,gap,,0.05,subgraph gap
,,,DA9,VB11,gap,,0.05,subgraph gap
,,,DB1,DB2,gap,,0.05,subgraph gap
,,,DB1,VB3,gap,,0.05,subgraph gap
,,,DB2,DB3,gap,,0.05,subgraph gap
,,,DB2,VB4,gap,,0.05,subgraph gap
,,,DB3,DB4,gap,,0.05,subgraph gap
,,,DB3,PVM,gap,,0.05,subgraph gap
,,,DB3,VB6,gap,,0.05,subgraph gap
,,,DB4,DB5,gap,,0.05,subgraph gap
,,,DB5,DB6,gap,,0.05,subgraph gap
,,,DB6,DB7,gap,,0.05,subgraph gap
,,,DB7,PVCL,gap,,0.05,subgraph gap
,,,DB7,PVCR,gap,,0.05,subgraph gap
,,,DB7,VA10,gap,,0.05,subgraph gap
,,,PLML,PVCL,gap,,0.05,subgraph gap
,,,PLMR,PVCR,gap,,0.05,subgraph gap
,,,PVCL,PVCR,gap,,0.05,subgraph gap
,,,PVCL,VA12,gap,,0.05,subgraph gap
,,,PVCL,VB10,gap,,0.05,subgraph gap
,,,PVCL,VB11,gap,,0.05,subgraph gap
,,,PVCR,VA11,gap,,0.05,subgraph gap
,,,PVCR,VA12,gap,,0.05,subgraph gap
,,,PVCR,VB10,gap,,0.05,subgraph gap
,,,PVCR,VB11,gap,,0.05,subgraph gap
,,,PVM,PVM,gap,,0.05,subgraph gap
,,,VA11,VA12,gap,,0.05,subgraph gap
,,,VA11,VB10,gap,,0.05,subgraph gap
,,,VA12,VB11,gap,,0.05,subgraph gap
,,,VA2,VA6,gap,,0.05,subgraph gap
,,,VA4,VA7,gap,,0.05,subgraph gap
,,,VA4,VB3,gap,,0.05,subgraph gap
,,,VB1,VB2,gap,,0.05,subgraph gap
,,,VB10,VB11,gap,,0.05,subgraph gap
,,,VB10,VB9,gap,,0.05,subgraph gap
,,,VB2,VB3,gap,,0.05,subgraph gap
,,,VB2,VB4,gap,,0.05,subgraph gap
,,,VB3,VB4,gap,,0.05,subgraph gap
,,,VB4,VB5,gap,,0.05,subgraph gap
,,,VB5,VB6,gap,,0.05,subgraph gap
,,,VB6,VB7,gap,,0.05,subgraph gap
,,,VB7,VB8,gap,,0.05,subgraph gap
,,,VB8,VB9,gap,,0.05,subgraph gap
muscle_drive,,,DA1,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA2,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA3,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA4,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA5,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA6,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA7,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA8,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DA9,body_back,muscle,0.60,0.10,subgraph muscle
muscle_drive,,,DB1,body_fwd,muscle,0.18,0.10,subgraph muscle
muscle_drive,,,DB2,body_fwd,muscle,0.18,0.10,subgraph muscle
muscle_drive,,,DB3,body_fwd,muscle,0.18,0.10,subgraph muscle
muscle_drive,,,DB4,body_fwd,muscle,0.18,0.10,subgraph muscle
muscle_drive,,,DB5,body_fwd,muscle,0.18,0.10,subgraph muscle
