# M5 全连接组定稿源（唯一定稿源，可修改复现）——B1a 执行节点按《生物仿真M5实施清单》§2 构建。
"# 列：role, neuron_class, neurotransmitter, receptor, synapse_from, synapse_to, synapse_type,"
"#     g_max_ns, delay_ms, g_gap_ns, muscle_target, note"
# 行语义：
#   - 神经元行：role=<302 神经元名>，neuron_class=<sensory|inter|motor|pharyngeal>，
#     neurotransmitter=<ach|glut|gaba|dopamine|serotonin|other>（覆盖率 100%），
#     muscle_target=<body_fwd|body_back|head_left|head_right>（运动神经元→虚拟身体通道，可选）。
#   - 化学突触行：synapse_from + synapse_to + synapse_type=chem + neurotransmitter（突触前递质）
#     + receptor（§2.3 映射：ach/glut→ampa、gaba→gaba、dopamine/serotonin→mod、other→none）
#     + g_max_ns（初始权重占位，§6 校准）+ delay_ms。
#   - 缝隙连接行：synapse_from + synapse_to + synapse_type=gap + g_gap_ns（初始占位）+ delay_ms。
#   - 肌肉行：role=muscle_drive，synapse_from=<运动神经元>，synapse_to=<4 通道>，
#     synapse_type=muscle，g_max_ns=收缩增量 w 占位（M3/M4 定稿值：fwd 0.18/back 0.60/head 0.50）。
# 
# PROVENANCE（数据源与版本，诚实性记录）：
#   - PRIMARY: openworm/c302 仓库 c302/data/herm_full_edgelist.csv（MIT License），
"#     = Cook et al. 2019, Nature 571:63-71 雌雄同体全连接组 full edge list；"
#     2026-08-25 经 api.github.com 下载（raw.githubusercontent 沙箱不可达）。
#   - 交叉核对: SI5_adjacency.xlsx（Cook 2019 官方 SI5 邻接矩阵，逐对一致）；
#     networks.skewed.de celegans_2019 官方 synapse list（node_type 分类源）；
#     aconnectome_white_1986_whole.csv（White 1986 数字化，对照）；
#     owmeta_cache.json（OpenWorm 302 神经元 class+neurotransmitter 标注，
#     源自 Pereira 2015 / Serrano-Saiz 2013 等文献编译）。
#   - 计数诚实性（预注册 §0 #5）：权威数据为唯一计数源，不得为过 Pass 改动；
#     本文件含真实连接组全部神经元-神经元化学/缝隙连接（含自连接，白名单保留）。
#   - 计数语义：化学突触行=神经元间有向连接对（Weight=突触计数见 counts.json）；
#     缝隙行=神经元间无向唯一对（多重连接合并）。
#   - 简化假设（详见 docs/m5_env_notes.md L7+）：AIY 实际递质=ach（M4 以 GABA 简化，差异记录）；
#     AVM 规范分类=inter（Cook=sensory）；真实体壁肌肉→虚拟 4 通道聚合；
#     DD/VD（GABA 能）/VC/HSN（性特异）/RME 不产生 muscle_drive 行。
role,neuron_class,neurotransmitter,receptor,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,g_gap_ns,muscle_target,note
ASJR,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
ASKL,sensory,glut,,,,,,,,,
ASKR,sensory,glut,,,,,,,,,
AUAL,inter,glut,,,,,,,,,
AUAR,inter,glut,,,,,,,,,
AVAL,inter,glut,,,,,,,,,递质按文献规范补充（owmeta 空值）
AVAR,inter,glut,,,,,,,,,递质按文献规范补充（owmeta 空值）
AVBL,inter,ach,,,,,,,,,递质按文献规范补充（owmeta 空值）
AVBR,inter,ach,,,,,,,,,递质按文献规范补充（owmeta 空值）
AVDL,inter,glut,,,,,,,,,递质按文献规范补充（owmeta 空值）
AVDR,inter,glut,,,,,,,,,递质按文献规范补充（owmeta 空值）
AVEL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVER,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVFL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVFR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVG,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVHL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVHR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVJL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVJR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVKL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVKR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AVL,inter,gaba,,,,,,,,,
AVM,inter,glut,,,,,,,,,规范分类 override（White 1986/WormAtlas；Cook 2019 分类见 counts.json）
AWAL,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AWAR,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AWBL,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AWBR,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
AWCL,sensory,glut,,,,,,,,,
AWCR,sensory,glut,,,,,,,,,
BAGL,sensory,glut,,,,,,,,,
BAGR,sensory,glut,,,,,,,,,
BDUL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
BDUR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
CANL,inter,other,,,,,,,,,规范分类 override（White 1986/WormAtlas；Cook 2019 分类见 counts.json）；Cook 2019 数据中无连接（孤立白名单，规范 roster 成员）
CANR,inter,other,,,,,,,,,规范分类 override（White 1986/WormAtlas；Cook 2019 分类见 counts.json）；Cook 2019 数据中无连接（孤立白名单，规范 roster 成员）
CEPDL,sensory,dopamine,,,,,,,,,
CEPDR,sensory,dopamine,,,,,,,,,
CEPVL,sensory,dopamine,,,,,,,,,
CEPVR,sensory,dopamine,,,,,,,,,
DA1,motor,ach,,,,,,,,body_back,
DA2,motor,ach,,,,,,,,body_back,
DA3,motor,ach,,,,,,,,body_back,
DA4,motor,ach,,,,,,,,body_back,
DA5,motor,ach,,,,,,,,body_back,
DA6,motor,ach,,,,,,,,body_back,
DA7,motor,ach,,,,,,,,body_back,
DA8,motor,ach,,,,,,,,body_back,
DA9,motor,ach,,,,,,,,body_back,
DB1,motor,ach,,,,,,,,body_fwd,
DB2,motor,ach,,,,,,,,body_fwd,
DB3,motor,ach,,,,,,,,body_fwd,
DB4,motor,ach,,,,,,,,body_fwd,
DB5,motor,ach,,,,,,,,body_fwd,
DB6,motor,ach,,,,,,,,body_fwd,
DB7,motor,ach,,,,,,,,body_fwd,
DD1,motor,gaba,,,,,,,,,
DD2,motor,gaba,,,,,,,,,
DD3,motor,gaba,,,,,,,,,
DD4,motor,gaba,,,,,,,,,
DD5,motor,gaba,,,,,,,,,
DD6,motor,gaba,,,,,,,,,
DVA,inter,ach,,,,,,,,,规范分类 override（White 1986/WormAtlas；Cook 2019 分类见 counts.json）
DVB,inter,gaba,,,,,,,,,
DVC,inter,glut,,,,,,,,,
FLPL,sensory,glut,,,,,,,,,
FLPR,sensory,glut,,,,,,,,,
HSNL,motor,serotonin,,,,,,,,,
HSNR,motor,serotonin,,,,,,,,,
I1L,pharyngeal,ach,,,,,,,,,
I1R,pharyngeal,ach,,,,,,,,,
I2L,pharyngeal,glut,,,,,,,,,
I2R,pharyngeal,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
I3,pharyngeal,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
I4,pharyngeal,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
I5,pharyngeal,glut,,,,,,,,,
I6,pharyngeal,ach,,,,,,,,,
IL1DL,sensory,glut,,,,,,,,,
IL1DR,sensory,glut,,,,,,,,,
IL1L,sensory,glut,,,,,,,,,
IL1R,sensory,glut,,,,,,,,,
IL1VL,sensory,glut,,,,,,,,,
IL1VR,sensory,glut,,,,,,,,,
IL2DL,sensory,ach,,,,,,,,,
IL2DR,sensory,ach,,,,,,,,,
IL2L,sensory,ach,,,,,,,,,
IL2R,sensory,ach,,,,,,,,,
IL2VL,sensory,ach,,,,,,,,,
IL2VR,sensory,ach,,,,,,,,,
LUAL,inter,glut,,,,,,,,,
LUAR,inter,glut,,,,,,,,,
M1,pharyngeal,ach,,,,,,,,,
M2L,pharyngeal,ach,,,,,,,,,
M2R,pharyngeal,ach,,,,,,,,,
M3L,pharyngeal,glut,,,,,,,,,
M3R,pharyngeal,glut,,,,,,,,,
M4,pharyngeal,ach,,,,,,,,,
M5,pharyngeal,ach,,,,,,,,,
MCL,pharyngeal,ach,,,,,,,,,
MCR,pharyngeal,ach,,,,,,,,,
MI,pharyngeal,glut,,,,,,,,,
NSML,pharyngeal,serotonin,,,,,,,,,
NSMR,pharyngeal,serotonin,,,,,,,,,
OLLL,sensory,glut,,,,,,,,,
OLLR,sensory,glut,,,,,,,,,
OLQDL,sensory,glut,,,,,,,,,
OLQDR,sensory,glut,,,,,,,,,
OLQVL,sensory,glut,,,,,,,,,
OLQVR,sensory,glut,,,,,,,,,
PDA,motor,ach,,,,,,,,,
PDB,motor,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
PDEL,sensory,dopamine,,,,,,,,,
PDER,sensory,dopamine,,,,,,,,,
PHAL,sensory,glut,,,,,,,,,
PHAR,sensory,glut,,,,,,,,,
PHBL,sensory,glut,,,,,,,,,
PHBR,sensory,glut,,,,,,,,,
PHCL,sensory,glut,,,,,,,,,
PHCR,sensory,glut,,,,,,,,,
PLML,sensory,glut,,,,,,,,,
PLMR,sensory,glut,,,,,,,,,
PLNL,sensory,ach,,,,,,,,,
PLNR,sensory,ach,,,,,,,,,
PQR,sensory,glut,,,,,,,,,
PVCL,inter,ach,,,,,,,,,
PVCR,inter,ach,,,,,,,,,
PVDL,sensory,glut,,,,,,,,,
PVDR,sensory,glut,,,,,,,,,
PVM,sensory,glut,,,,,,,,,递质按文献规范补充（owmeta 空值）
PVNL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
PVNR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
PVPL,inter,ach,,,,,,,,,
PVPR,inter,ach,,,,,,,,,
PVQL,inter,glut,,,,,,,,,
PVQR,inter,glut,,,,,,,,,
PVR,inter,glut,,,,,,,,,
PVT,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
PVWL,inter,ach,,,,,,,,,
PVWR,inter,ach,,,,,,,,,
RIAL,inter,glut,,,,,,,,,
RIAR,inter,glut,,,,,,,,,
RIBL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIBR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RICL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RICR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RID,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIFL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIFR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIGL,inter,glut,,,,,,,,,
RIGR,inter,glut,,,,,,,,,
RIH,inter,serotonin,,,,,,,,,
RIML,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIMR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIPL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIPR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIS,inter,gaba,,,,,,,,,
RIVL,motor,other,,,,,,,,head_left,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RIVR,motor,other,,,,,,,,head_right,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RMDDL,motor,ach,,,,,,,,head_left,
RMDDR,motor,ach,,,,,,,,head_right,
RMDL,motor,ach,,,,,,,,head_left,
RMDR,motor,ach,,,,,,,,head_right,
RMDVL,motor,ach,,,,,,,,head_left,
RMDVR,motor,ach,,,,,,,,head_right,
RMED,motor,gaba,,,,,,,,,
RMEL,motor,gaba,,,,,,,,,
RMER,motor,gaba,,,,,,,,,
RMEV,motor,gaba,,,,,,,,,
RMFL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RMFR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RMGL,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RMGR,inter,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RMHL,motor,other,,,,,,,,head_left,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
RMHR,motor,other,,,,,,,,head_right,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
SAADL,inter,ach,,,,,,,,,
SAADR,inter,ach,,,,,,,,,
SAAVL,inter,ach,,,,,,,,,
SAAVR,inter,ach,,,,,,,,,
SABD,motor,ach,,,,,,,,,
SABVL,motor,ach,,,,,,,,,
SABVR,motor,ach,,,,,,,,,
SDQL,sensory,ach,,,,,,,,,
SDQR,sensory,ach,,,,,,,,,
SIADL,motor,ach,,,,,,,,,
SIADR,motor,ach,,,,,,,,,
SIAVL,motor,ach,,,,,,,,,
SIAVR,motor,ach,,,,,,,,,
SIBDL,motor,ach,,,,,,,,,
SIBDR,motor,ach,,,,,,,,,
SIBVL,motor,ach,,,,,,,,,
SIBVR,motor,ach,,,,,,,,,
SMBDL,motor,ach,,,,,,,,head_left,
SMBDR,motor,ach,,,,,,,,head_right,
SMBVL,motor,ach,,,,,,,,head_left,
SMBVR,motor,ach,,,,,,,,head_right,
SMDDL,motor,ach,,,,,,,,head_left,
SMDDR,motor,ach,,,,,,,,head_right,
SMDVL,motor,ach,,,,,,,,head_left,
SMDVR,motor,ach,,,,,,,,head_right,
URADL,motor,ach,,,,,,,,,
URADR,motor,ach,,,,,,,,,
URAVL,motor,ach,,,,,,,,,
URAVR,motor,ach,,,,,,,,,
URBL,inter,ach,,,,,,,,,
URBR,inter,ach,,,,,,,,,
URXL,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
URXR,sensory,other,,,,,,,,,other：神经肽类/无经典快递质（owmeta 空值或酪胺/章鱼胺能）
URYDL,sensory,glut,,,,,,,,,
URYDR,sensory,glut,,,,,,,,,
URYVL,sensory,glut,,,,,,,,,
URYVR,sensory,glut,,,,,,,,,
VA1,motor,ach,,,,,,,,body_back,
VA10,motor,ach,,,,,,,,body_back,
VA11,motor,ach,,,,,,,,body_back,
VA12,motor,ach,,,,,,,,body_back,
VA2,motor,ach,,,,,,,,body_back,
VA3,motor,ach,,,,,,,,body_back,
VA4,motor,ach,,,,,,,,body_back,
VA5,motor,ach,,,,,,,,body_back,
VA6,motor,ach,,,,,,,,body_back,
VA7,motor,ach,,,,,,,,body_back,
VA8,motor,ach,,,,,,,,body_back,
VA9,motor,ach,,,,,,,,body_back,
VB1,motor,ach,,,,,,,,body_fwd,
VB10,motor,ach,,,,,,,,body_fwd,
VB11,motor,ach,,,,,,,,body_fwd,
VB2,motor,ach,,,,,,,,body_fwd,
VB3,motor,ach,,,,,,,,body_fwd,
VB4,motor,ach,,,,,,,,body_fwd,
VB5,motor,ach,,,,,,,,body_fwd,
VB6,motor,ach,,,,,,,,body_fwd,
VB7,motor,ach,,,,,,,,body_fwd,
VB8,motor,ach,,,,,,,,body_fwd,
VB9,motor,ach,,,,,,,,body_fwd,
VC1,motor,ach,,,,,,,,,
VC2,motor,ach,,,,,,,,,
VC3,motor,ach,,,,,,,,,
VC4,motor,ach,,,,,,,,,
VC5,motor,ach,,,,,,,,,
VC6,motor,ach,,,,,,,,,
VD1,motor,gaba,,,,,,,,,
VD10,motor,gaba,,,,,,,,,
VD11,motor,gaba,,,,,,,,,
VD12,motor,gaba,,,,,,,,,
VD13,motor,gaba,,,,,,,,,
VD2,motor,gaba,,,,,,,,,
VD3,motor,gaba,,,,,,,,,
VD4,motor,gaba,,,,,,,,,
VD5,motor,gaba,,,,,,,,,
VD6,motor,gaba,,,,,,,,,
VD7,motor,gaba,,,,,,,,,
VD8,motor,gaba,,,,,,,,,
VD9,motor,gaba,,,,,,,,,
# ---- 化学突触（神经元-神经元有向对；g_max_ns 类级初始占位，§6 校准；delay 0.5ms M3/M4 惯例）----
,,glut,ampa,ADAL,ADAL,chem,5.00,0.50,,,自连接（真实连接组存在，白名单保留，不静默删除）
,,glut,ampa,ADAL,ADLL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AIAL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AIBL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AIBR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVAL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVAR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVBL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVBR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVDL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVDR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVEL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,AVJR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,PVPL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,RICL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,RICR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,RID,chem,5.00,0.50,,,
,,glut,ampa,ADAL,RIML,chem,5.00,0.50,,,
,,glut,ampa,ADAL,RIPL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,SMDVR,chem,5.00,0.50,,,
,,glut,ampa,ADAL,URAVL,chem,5.00,0.50,,,
,,glut,ampa,ADAL,URXL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AIBL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AIBR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,ASHR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVAR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVBL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVBR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVDL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVDR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVEL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,AVJL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,PVR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,RIFR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,RIMR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,RIPR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,RIVR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,SMDVL,chem,5.00,0.50,,,
,,glut,ampa,ADAR,URXR,chem,5.00,0.50,,,
,,glut,ampa,ADAR,URYDR,chem,5.00,0.50,,,
,,dopamine,mod,ADEL,ADAL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,ADER,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,ALML,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,AVAL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,AVAR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,AVDL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,AVEL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,AVHL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,AVL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,BDUL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,CEPDL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,FLPL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,IL1L,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,IL2L,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,OLLL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIAL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIFL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIGL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIGR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIH,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIVL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RIVR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RMDL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RMER,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RMGL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RMHL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,RMHR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,SAADR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,SIADR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,SIBVR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,SMBDR,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,SMBVL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,URBL,chem,0.00,0.50,,,
,,dopamine,mod,ADEL,VB1,chem,0.00,0.50,,,
,,dopamine,mod,ADER,ADAR,chem,0.00,0.50,,,
,,dopamine,mod,ADER,ADEL,chem,0.00,0.50,,,
,,dopamine,mod,ADER,ALNR,chem,0.00,0.50,,,
,,dopamine,mod,ADER,ASIR,chem,0.00,0.50,,,
,,dopamine,mod,ADER,AVAL,chem,0.00,0.50,,,
