# M8 P8 活动金标准（B1d）：逐角色发放率 + 荧光/活动态序列摘要
role,rate_hz,n_spikes,fluor_frame_mean,fluor_frame_max
BLAV12_LAT POINTER-LIKE RIGHT,0.000000,0,1.000000,1.000000
BLDA B 6_FROM ANOTHER TEMP PN (DS5TH-2) LEFT,0.000000,0,1.000000,1.000000
BLDA B 6_FROM ANOTHER TEMP PN (DS5TH-2) RIGHT,6.666667,20,6.117213,8.244037
BLDC A00C POINTER RIGHT,0.000000,0,1.000000,1.000000
BLDC DESCENDING 1 RIGHT; BPL FEEDBACK LOCAL R,0.000000,0,1.000000,1.000000
BLDC POINTER RIGHT,0.000000,0,1.000000,1.000000
BLP POST VEN NEURON 1 RIGHT; BLP34 A 6,0.000000,0,1.000000,1.000000
BLP12 CLAW 1 LEFT,0.000000,0,1.000000,1.000000
BLP34 BILATERAL 2 RIGHT,4.666667,14,5.477923,7.506224
BLP34 DESCENDING 3 RIGHT,0.000000,0,1.000000,1.000000
BLP34 DESCENDING 5 RIGHT,0.000000,0,1.000000,1.000000
BLP34 HOOK 1 RIGHT,0.000000,0,1.000000,1.000000
BLP34 LATERAL RIGHT,0.000000,0,1.000000,1.000000
BLP34 LOCAL RIGHT,0.000000,0,1.000000,1.000000
BLP34 LOOPER 2 LEFT; RIGHT_CPLD,0.000000,0,1.000000,1.000000
BLP34 LOOPER 2 RIGHT,0.000000,0,1.000000,1.000000
BLVA ASCENDING 1 RIGHT; DL-LH_CAND3_NO,0.000000,0,1.000000,1.000000
BLVA HOOK 1 RIGHT,0.000000,0,1.000000,1.000000
BLVA12 LOCAL RIGHT; DL-LH_CAND4; BLVA12 A 6 (WRONG CONNECTION),0.000000,0,1.000000,1.000000
BLVA12 TRIPARTITE RIGHT; F14: PVL005 - 1 RIGHT?,0.000000,0,1.000000,1.000000
BLVA34 LOCAL HOOK RIGHT; DOWNSTREAM OF BASKET PN; BLVA34 A 4,0.000000,0,1.000000,1.000000
BLVA_T HOOK 2 LEFT,0.000000,0,1.000000,1.000000
BLVP1 BILATERAL DESCENDING RIGHT; DP1 OF GPHN RIGHT (IPSILATERAL PN TO BILATERAL LH); BLVP1 4,0.000000,0,1.000000,1.000000
BLVP1 HOOK RIGHT,0.000000,0,1.000000,1.000000
BLVP1 LOCAL A RIGHT,0.000000,0,1.000000,1.000000
BU ; DALD 4_LEFT,12.000000,36,9.444317,11.749821
CA ; DPMPM1 1_RIGHT,11.333333,34,9.929128,14.808890
CM13 HORSESHOE 2 RIGHT,0.000000,0,1.000000,1.000000
CM4-DM HORSESHOE 1 RIGHT,2.666667,8,2.932478,4.959825
COASTER (NPF) LEFT,4.000000,12,3.637881,6.588865
COASTER (NPF) RIGHT,4.000000,12,3.025059,7.221717
CONTRA-VINE LEFT,15.000000,45,11.506368,16.288536
CONTRA-VINE RIGHT,8.666667,26,7.028704,13.765447
CP CONTRALATERAL RIGHT; HELPER-GAP NEURON DOWN_OCT,8.666667,26,7.578008,9.464213
CP23 D 13_RIGHT,0.000000,0,1.000000,1.000000
CP4 8 RIGHT,0.000000,0,1.000000,1.000000
CPF CONTRALATERAL 3 LEFT,5.333333,16,5.015454,7.097790
CPF DESCENDING IPSILATERAL-LIKE LEFT,4.000000,12,4.087130,5.104620
CPLD-- DOWNTODN1 LEFT,6.666667,20,6.283891,8.473582
CPLD-- DOWNTODN1 RIGHT,8.666667,26,7.572108,9.456580
DALCM12 V AP 11 RIGHT,24.333333,73,17.215127,24.707312
DALD BUSHY LEFT; DALD_L  2,4.000000,12,4.130868,5.218072
DALD_L  3,23.666667,71,18.441648,24.179910
DALV23 LAL 11 RIGHT,11.666667,35,8.865674,12.391173
DALV23 LAL 12 RIGHT,12.666667,38,11.075154,17.964227
DALV23 LAL 2 RIGHT,6.000000,18,4.381414,8.379616
DALV23 LAL 3 RIGHT,12.000000,36,9.569220,12.929123
DALV23 LAL 5 RIGHT,9.333333,28,8.526037,12.821859
DALV23 LAL 7 RIGHT,4.000000,12,3.282842,6.813496
DALV23 LAL CRINKLED RIGHT,10.000000,30,7.542704,11.756658
DALV23 SUB MB 1_RIGHT,11.000000,33,8.878482,14.203470
DAMV12 MANDIBLE 2 LEFT,16.000000,48,14.827045,18.262246
DAMV12_MED MUNIN OUTPUT LEFT,13.666667,41,11.074060,15.308596
DAMV12_MED MUNIN OUTPUT RIGHT,11.000000,33,9.117302,11.400102
DH44 1 RIGHT,5.000000,15,4.323946,6.325981
DL-LH_CAND10 RIGHT; BLVA 34 B 1 RIGHT,0.000000,0,1.000000,1.000000
DL-LH_CAND9 RIGHT,0.000000,0,1.000000,1.000000
DM-NPF_CONN4_LEFT,0.000000,0,1.000000,1.000000
DM-NPF_CONN4_RIGHT,0.000000,0,1.000000,1.000000
DMS 1 RIGHT,5.000000,15,3.889235,6.300307
DN1-1 - PDL007 RIGHT,5.333333,16,5.094725,6.930753
DPLAL SIMPLE BILATERAL 2 RIGHT,0.000000,0,1.000000,1.000000
DPLAL SIMPLE BILATERAL 3 RIGHT; BPL TO LATERAL BILATERAL RIGHT,0.000000,0,1.000000,1.000000
DPLAM NEURON RIGHT,6.666667,20,6.279169,8.461744
DPLAM TALON 1 LEFT,0.000000,0,1.000000,1.000000
DPLC1 DESCENDING L,10.666667,32,7.389073,11.069182
DPLC_ANT_LAT BILATERAL RIGHT; DN2-1R (ASB TODO A2 11),6.666667,20,6.293896,8.486458
DPLC_POST_MED DESCENDING LEFT,0.000000,0,1.000000,1.000000
DPLD C NEURON LEFT,0.000000,0,1.000000,1.000000
DPLL GNARLY LEFT,6.000000,18,5.748350,7.544299
DPLM1 CONTRALATERAL 2 RIGHT; POTENTIAL RG NEURON,5.333333,16,5.107586,6.949390
DPM CONTRALATERAL HORSESHOE RIGHT,2.666667,8,2.932478,4.959825
DPML A 5 RIGHT,0.000000,0,1.000000,1.000000
DPML_ANT_VEN DESCENDING RIGHT,8.666667,26,6.231502,8.605671
DPMM1 3 (OUTPUT OF MUNIN)_LEFT,0.000000,0,1.000000,1.000000
DPMM1 BRAIN DESCENDING INTO VNC 2 RIGHT,4.000000,12,4.252329,7.165392
DPMM1 BRAIN DESCENDING INTO VNC RIGHT,8.666667,26,7.415713,16.360171
DPMM1 HORSESHOE 2 RIGHT,0.000000,0,1.000000,1.000000
DPMM1 IPSILATERAL DESCENDING RIGHT,10.000000,30,9.868228,14.934965
DPMPM1 4 DNS,8.666667,26,7.050831,10.209044
DPMPM1 HORSESHOE RIGHT,0.000000,0,1.000000,1.000000
EV_RIGHT,8.666667,26,7.555452,9.435118
FLON;RIGHT,0.000000,0,1.000000,1.000000
FROM UPPER LOOPING PN - PEPTIDERGIC RIGHT,0.000000,0,1.000000,1.000000
GB: RIGHT,0.000000,0,1.000000,1.000000
GINKGO 2 LEFT,0.000000,0,1.000000,1.000000
GX; LEFT,8.666667,26,7.497624,9.362220
HANDLEBAR PN (CB ON LEFT),0.000000,0,1.000000,1.000000
HL; DALV23 L LAL_RIGHT,2.666667,8,2.528440,4.892469
HOOK-1_A1L,0.000000,0,1.000000,1.000000
HORSESHOE BILATERAL RIGHT,0.000000,0,1.000000,1.000000
HORSESHOE DEVIANT RIGHT,16.000000,48,12.043907,18.384232
HUGIN-RG LEFT 1,6.000000,18,5.147470,9.606841
INNER BRIDGE 2 LEFT,0.000000,0,1.000000,1.000000
IPC 7 LEFT,7.666667,23,5.334435,11.162462
IPC 7 RIGHT,7.666667,23,6.321361,10.146923
IPC PAIR 1; IPC 6 RIGHT,5.666667,17,4.707300,8.915768
IPC PAIR 3; IPC 5 RIGHT,14.666667,44,10.626596,19.791091
IPC PAIR 4; IPC 3 RIGHT,6.666667,20,5.959537,8.351679
IPC PAIR 5; IPC 5 LEFT,5.666667,17,5.144592,7.304055
IPC PAIR 6; IPC 2 RIGHT,3.666667,11,4.194159,7.233189
K ; DPLAM MED _LEFT,9.333333,28,7.815310,11.137367
KC #0,8.666667,26,7.542637,9.418614
KC NO PAIR,21.666667,65,17.342990,22.028890
KC1,8.666667,26,7.542356,9.418519
KC10,8.666667,26,7.541116,9.416685
KC11,8.666667,26,7.540039,9.415964
KC2,8.666667,26,7.540896,9.416347
KC3,8.666667,26,7.541635,9.417333
KC4,8.666667,26,7.542294,9.418012
KC5,8.666667,26,7.542399,9.418548
KC7,8.666667,26,7.540896,9.416360
KC72,9.333333,28,8.038625,9.799414
L RIGHT (PN TO LH),0.000000,0,1.000000,1.000000
L1 RIGHT; (OLD) I OF GPHN RIGHT (IPSILATERAL PN TO BILATERAL LH),0.000000,0,1.000000,1.000000
L1: SHORT-PRESYNAPTICD-3-R,2.666667,8,2.840174,4.520579
LADDER (OLFACTORY) POST.,8.666667,26,7.540757,9.416501
LH-22 BLVA12 A 11 _RIGHT,5.333333,16,5.083184,6.914022
LN2;LEFT,0.000000,0,1.000000,1.000000
LN2;RIGHT,0.000000,0,1.000000,1.000000
LN3;RIGHT,0.000000,0,1.000000,1.000000
LN4;RIGHT,6.000000,18,5.654191,7.469499
LOCAL CRESCENT RIGHT,0.000000,0,1.000000,1.000000
LOWER LOOPING PN LEFT - AVM004,0.000000,0,1.000000,1.000000
LOWER LOOPING PN RIGHT - AVM004 (BALA1/2),8.000000,24,6.904616,9.082715
MAGIC WAND RIGHT (AF11),6.666667,20,6.143559,8.281732
MB2IN-162 LEFT; PDLR,0.000000,0,1.000000,1.000000
MBE12 RIGHT,16.666667,50,13.400875,17.427498
MBE13A RIGHT,13.000000,39,10.806702,13.618528
MBE13B RIGHT,8.666667,26,7.533221,9.406459
MBE15A LEFT,15.666667,47,13.159518,18.435580
MBE19 LEFT,8.666667,26,7.550319,9.428793
MBE1D LEFT,10.000000,30,8.447436,11.022249
MBE1D RIGHT,8.666667,26,7.520031,9.389562
MBE20 RIGHT,8.666667,26,7.545742,9.422686
MBE24A RIGHT,8.666667,26,7.535554,9.409468
MBE2A RIGHT,11.333333,34,9.353825,12.759329
MBE33 RIGHT,11.333333,34,9.902719,14.778877
MBE34 RIGHT,8.666667,26,7.508944,9.372858
MBE4A RIGHT,12.666667,38,10.476796,13.428848
MBE4F LEFT,11.333333,34,9.905158,14.781576
MBE4H LEFT,17.000000,51,13.617757,17.472532
MBE6 RIGHT,8.666667,26,7.543650,9.419901
MBON-F-V8;14+4 CELL BODY CLOSE TO OTHER RELAYS,0.000000,0,1.000000,1.000000
MBON-F-V8;14+4 CELL BODY CLOSE TO OTHER RELAYS THE OTHER SIDE,0.000000,0,1.000000,1.000000
MDNA_LEFT; PAIR 1 LEFT,11.000000,33,9.403161,12.584791
MDNA_RIGHT; PAIR 2 RIGHT,10.333333,31,9.386439,12.807022
MDNB_LEFT; PAIR 2 LEFT,11.333333,34,8.548294,11.487395
MDNB_RIGHT; PAIR 1 RIGHT,16.000000,48,12.114965,16.402559
MIXED BPL TERMINAL RIGHT,0.000000,0,1.000000,1.000000
MIXED POINTER-LIKE RIGHT,0.000000,0,1.000000,1.000000
ML_RIGHT,8.666667,26,7.555452,9.435118
MN_AN IACT PN RIGHT,0.000000,0,1.000000,1.000000
MPN BAMD1-G RIGHT,0.000000,0,1.000000,1.000000
MPN D RIGHT,0.000000,0,1.000000,1.000000
MPN IACT A1 RIGHT,0.000000,0,1.000000,1.000000
MPN IACT B1_LEFT,0.000000,0,1.000000,1.000000
MPN IACT B2 LEFT,0.000000,0,1.000000,1.000000
MPN IACT BILATERAL LOWER LEFT,0.000000,0,1.000000,1.000000
MPN IACT C2 LEFT,0.000000,0,1.000000,1.000000
MUNIN OUTPUT RIGHT - UNFINISHED,8.666667,26,7.497013,9.361789
NAG RIGHT,0.000000,0,1.000000,1.000000
NK_RIGHT,10.666667,32,8.416232,11.348617
OUTPUT OF HUGIN RIGHT,5.333333,16,5.103743,6.943815
OUTPUT OF MUNIN 3 LEFT - PAIR #1,0.666667,2,1.535028,2.376057
OUTPUT OF MUNIN 3 RIGHT - PAIR #1; CP4 9,1.333333,4,2.191969,4.065665
OUTPUT OF MUNIN LEFT 3,8.666667,26,7.508070,9.374930
PICKY 2 RIGHT,0.000000,0,1.000000,1.000000
PN OF GPHN TO LH (LEFT),0.000000,0,1.000000,1.000000
PN ONLY CONNECTS TO TOGETHERS RIGHT,0.000000,0,1.000000,1.000000
POSTERIOR VENTRAL NEURON RIGHT,8.666667,26,7.543180,9.417493
PPLV - 2 RIGHT (MAYBE PVL014C); BLP34 A 7,6.000000,18,5.635451,7.443807
PRE PMN RIGHT,7.666667,23,5.835082,7.617972
PRE-DORSAL-MAP PRESYNAPTIC-D-2-R LEFT,0.666667,2,1.535403,2.377021
PRE-GORO3 RIGHT,5.666667,17,4.579630,8.955675
PRESYNAPTIC-D-2-MAP-L LEFT,0.666667,2,1.533346,2.371729
PROJECTION FROM LH 1_RIGHT,5.333333,16,5.114873,6.959961
PUTATIVE 11H10 RIGHT,7.000000,21,6.375008,9.627719
PVC_RIGHT; BLP34 A 8,0.000000,0,1.000000,1.000000
PVL2 LEFT,6.000000,18,5.766489,7.569787
PVL2 RIGHT; BLP34 A 3,0.000000,0,1.000000,1.000000
RH5PR-1;RIGHT,0.000000,0,1.000000,1.000000
RH5PR-2;LEFT,0.000000,0,1.000000,1.000000
RH5PR-2;RIGHT,0.000000,0,1.000000,1.000000
RH5PR-4;LEFT,0.000000,0,1.000000,1.000000
RH6PR-1;LEFT,0.000000,0,1.000000,1.000000
RH6PR-1;RIGHT,0.000000,0,1.000000,1.000000
RH6PR-2;LEFT,0.000000,0,1.000000,1.000000
RH6PR-3;LEFT,0.000000,0,1.000000,1.000000
RH6PR-3;RIGHT,0.000000,0,1.000000,1.000000
RH6PR-4;LEFT,0.000000,0,1.000000,1.000000
RH6PR-4;RIGHT,0.000000,0,1.000000,1.000000
RH6PR-6;LEFT,0.000000,0,1.000000,1.000000
RH6PR-7;LEFT,0.000000,0,1.000000,1.000000
RH6PR-8;LEFT,0.000000,0,1.000000,1.000000
RH6PR-8;RIGHT,0.000000,0,1.000000,1.000000
RH6PR-9;LEFT,0.000000,0,1.000000,1.000000
ROSE 1 RIGHT,0.000000,0,1.000000,1.000000
RULER LIKE NEURON RIGHT,6.000000,18,5.646343,7.458955
SEZ CUP RIGHT,6.000000,18,4.503262,9.005251
SEZ-IN-A01-RIGHT,0.000000,0,1.000000,1.000000
SJ: DALV23 L LAL DOR POS 2_RIGHT,11.333333,34,9.912666,14.790258
SLEEPY LEFT,8.666667,26,7.526008,9.398593
SLEEPY-2 LEFT,8.666667,26,7.516941,9.387183
SLO_LEFT,0.000000,0,1.000000,1.000000
SLP2_RIGHT,0.000000,0,1.000000,1.000000
SOG INTO BRAIN CONTRALATERALLY LEFT - PAIRED WITH #3420915,0.000000,0,1.000000,1.000000
SOG INTO BRAIN CONTRALATERALLY RIGHT - PAIRED WITH #3622234,0.000000,0,1.000000,1.000000
SUCKERFISH PN RIGHT,7.333333,22,6.446396,8.824868
T NEURON_SIBLING RIGHT,1.333333,4,2.018612,3.155150
T3: PVLR_LEFT,6.000000,18,5.759870,7.560334
T3: PVLR_RIGHT,6.000000,18,5.731386,7.520876
T5; OFFPVL09_3_LARGE_RIGHT,12.000000,36,9.875770,13.611825
TELEPHONE-1R,6.000000,18,5.766935,7.570467
TELEPHONE-RELATED RIGHT,0.000000,0,1.000000,1.000000
THERMO KC B_RIGHT - MBI2 - UNKNOWN,8.666667,26,7.549871,9.427979
TOMATO VINE 2_RIGHT,12.333333,37,9.810774,13.067713
TRY5THLN_SIBLING 35 RIGHT,0.000000,0,1.000000,1.000000
TWO-HEADED COBRA LEFT,8.666667,26,7.559025,9.439740
UNK BASAL RIGHT; DL-LH_CAND2,0.000000,0,1.000000,1.000000
UNK BRAIN ASCENDING LEFT,0.000000,0,1.000000,1.000000
UNK BRIDGE RIGHT; AF6: MUNIN OUTPUT RIGHT,0.666667,2,1.533399,2.371866
UNK TRIPLE BRANCH LEFT,0.000000,0,1.000000,1.000000
UNK TRIPLE BRANCH RIGHT; IPSILATERAL BPL INTERNEURON (HOOK TARGET),0.000000,0,1.000000,1.000000
UPPER LOOPING PN LEFT - AVM004,0.000000,0,1.000000,1.000000
UPPER LOOPING PN RIGHT - AVM004 (BALA1/2),0.000000,0,1.000000,1.000000
V'TD_VNC_A7R,0.000000,0,1.000000,1.000000
V1: POSSIBLE PVL005 - 3 RIGHT,0.000000,0,1.000000,1.000000
VB: DPMM1 4_LEFT,9.333333,28,7.902407,10.442810
VB: DPMM1 4_RIGHT,10.666667,32,8.930997,11.565755
VENTRAL LN RIGHT,0.000000,0,1.000000,1.000000
VINE LEFT,0.000000,0,1.000000,1.000000
WS: FROM OLFACTORY TO HUGIN INTERNEURON LEFT,0.000000,0,1.000000,1.000000
WS: FROM OLFACTORY TO HUGIN INTERNEURON RIGHT,0.666667,2,1.537468,2.382332
Y ; DALCM12 L M ANT LAT 2_RIGHT,4.666667,14,4.515398,6.374652
Y NEURON LEFT,0.666667,2,1.660944,2.699905
Z: CONTRA_LEFT,8.666667,26,7.510527,9.377630

# 全局活动态序列（100ms bin；分位二值 1=high/0=low）
bin,global_rate_hz,state
0,1.833333,0
1,1.866667,0
2,6.466667,1
3,8.666667,1
4,8.366667,1
5,12.333333,1
6,1.233333,0
7,1.133333,0
8,7.100000,1
9,8.366667,1
10,2.866667,1
11,1.600000,0
12,1.966667,1
13,1.700000,0
14,1.133333,0
15,7.166667,1
16,8.433333,1
17,1.333333,0
18,0.700000,0
19,2.433333,1
20,1.633333,0
21,12.833333,1
22,2.466667,1
23,8.000000,1
24,0.466667,0
25,1.266667,0
26,6.733333,1
27,1.766667,0
28,1.733333,0
29,1.600000,0
