# M8 P8 活动金标准（B2 全协议：300 two_comp T=30s）
# scale=300 fidelity=two_comp tag=300_two_comp_30s
tag,role,rate_hz,n_spikes
300_two_comp_30s,BLVA34 LOCAL HOOK RIGHT; DOWNSTREAM OF BASKET PN; BLVA34 A 4,0.000000,0
300_two_comp_30s,BLVA_T HOOK 2 LEFT,0.000000,0
300_two_comp_30s,BLVP1 BILATERAL DESCENDING RIGHT; DP1 OF GPHN RIGHT (IPSILATERAL PN TO BILATERAL LH); BLVP1 4,0.000000,0
300_two_comp_30s,BLVP1 HOOK RIGHT,0.000000,0
300_two_comp_30s,BLVP1 LOCAL A RIGHT,0.000000,0
300_two_comp_30s,BU ; DALD 4_LEFT,9.400000,282
300_two_comp_30s,CA ; DPMPM1 1_RIGHT,11.000000,330
300_two_comp_30s,CM13 HORSESHOE 2 RIGHT,0.000000,0
300_two_comp_30s,CM4-DM HORSESHOE 1 RIGHT,3.866667,116
300_two_comp_30s,COASTER (NPF) LEFT,5.933333,178
300_two_comp_30s,COASTER (NPF) RIGHT,6.133333,184
300_two_comp_30s,CONTRA-VINE LEFT,13.066667,392
300_two_comp_30s,CONTRA-VINE RIGHT,9.766667,293
300_two_comp_30s,CP CONTRALATERAL RIGHT; HELPER-GAP NEURON DOWN_OCT,7.400000,222
300_two_comp_30s,CP23 D 13_RIGHT,0.333333,10
300_two_comp_30s,CP4 8 RIGHT,0.133333,4
300_two_comp_30s,CPF CONTRALATERAL 3 LEFT,4.000000,120
300_two_comp_30s,CPF DESCENDING IPSILATERAL-LIKE LEFT,6.233333,187
300_two_comp_30s,CPLD-- DOWNTODN1 LEFT,3.800000,114
300_two_comp_30s,CPLD-- DOWNTODN1 RIGHT,7.333333,220
300_two_comp_30s,DALCM12 V AP 11 RIGHT,20.166667,605
300_two_comp_30s,DALD BUSHY LEFT; DALD_L  2,6.000000,180
300_two_comp_30s,DALD_L  3,19.600000,588
300_two_comp_30s,DALV23 LAL 11 RIGHT,13.166667,395
300_two_comp_30s,DALV23 LAL 12 RIGHT,13.033333,391
300_two_comp_30s,DALV23 LAL 2 RIGHT,5.600000,168
300_two_comp_30s,DALV23 LAL 3 RIGHT,9.533333,286
300_two_comp_30s,DALV23 LAL 5 RIGHT,9.700000,291
300_two_comp_30s,DALV23 LAL 7 RIGHT,5.966667,179
300_two_comp_30s,DALV23 LAL CRINKLED RIGHT,6.000000,180
300_two_comp_30s,DALV23 SUB MB 1_RIGHT,9.800000,294
300_two_comp_30s,DAMV12 MANDIBLE 2 LEFT,12.900000,387
300_two_comp_30s,DAMV12_MED MUNIN OUTPUT LEFT,9.900000,297
300_two_comp_30s,DAMV12_MED MUNIN OUTPUT RIGHT,9.800000,294
300_two_comp_30s,DH44 1 RIGHT,5.900000,177
300_two_comp_30s,DL-LH_CAND10 RIGHT; BLVA 34 B 1 RIGHT,0.000000,0
300_two_comp_30s,DL-LH_CAND9 RIGHT,0.000000,0
300_two_comp_30s,DM-NPF_CONN4_LEFT,0.000000,0
300_two_comp_30s,DM-NPF_CONN4_RIGHT,0.000000,0
300_two_comp_30s,DMS 1 RIGHT,6.200000,186
300_two_comp_30s,DN1-1 - PDL007 RIGHT,3.466667,104
300_two_comp_30s,DPLAL SIMPLE BILATERAL 2 RIGHT,0.000000,0
300_two_comp_30s,DPLAL SIMPLE BILATERAL 3 RIGHT; BPL TO LATERAL BILATERAL RIGHT,0.000000,0
300_two_comp_30s,DPLAM NEURON RIGHT,3.800000,114
300_two_comp_30s,DPLAM TALON 1 LEFT,0.000000,0
300_two_comp_30s,DPLC1 DESCENDING L,9.633333,289
300_two_comp_30s,DPLC_ANT_LAT BILATERAL RIGHT; DN2-1R (ASB TODO A2 11),3.733333,112
300_two_comp_30s,DPLC_POST_MED DESCENDING LEFT,0.000000,0
300_two_comp_30s,DPLD C NEURON LEFT,0.000000,0
300_two_comp_30s,DPLL GNARLY LEFT,3.600000,108
300_two_comp_30s,DPLM1 CONTRALATERAL 2 RIGHT; POTENTIAL RG NEURON,3.333333,100
300_two_comp_30s,DPM CONTRALATERAL HORSESHOE RIGHT,3.866667,116
300_two_comp_30s,DPML A 5 RIGHT,0.000000,0
300_two_comp_30s,DPML_ANT_VEN DESCENDING RIGHT,9.733333,292
300_two_comp_30s,DPMM1 3 (OUTPUT OF MUNIN)_LEFT,0.000000,0
300_two_comp_30s,DPMM1 BRAIN DESCENDING INTO VNC 2 RIGHT,5.900000,177
300_two_comp_30s,DPMM1 BRAIN DESCENDING INTO VNC RIGHT,6.066667,182
300_two_comp_30s,DPMM1 HORSESHOE 2 RIGHT,0.000000,0
300_two_comp_30s,DPMM1 IPSILATERAL DESCENDING RIGHT,9.666667,290
300_two_comp_30s,DPMPM1 4 DNS,9.433333,283
300_two_comp_30s,DPMPM1 HORSESHOE RIGHT,0.000000,0
300_two_comp_30s,EV_RIGHT,7.400000,222
300_two_comp_30s,FLON;RIGHT,0.000000,0
300_two_comp_30s,FROM UPPER LOOPING PN - PEPTIDERGIC RIGHT,0.400000,12
300_two_comp_30s,GB: RIGHT,0.000000,0
300_two_comp_30s,GINKGO 2 LEFT,0.200000,6
300_two_comp_30s,GX; LEFT,7.666667,230
300_two_comp_30s,HANDLEBAR PN (CB ON LEFT),0.400000,12
300_two_comp_30s,HL; DALV23 L LAL_RIGHT,3.800000,114
300_two_comp_30s,HOOK-1_A1L,0.000000,0
300_two_comp_30s,HORSESHOE BILATERAL RIGHT,0.000000,0
300_two_comp_30s,HORSESHOE DEVIANT RIGHT,12.766667,383
300_two_comp_30s,HUGIN-RG LEFT 1,5.900000,177
300_two_comp_30s,INNER BRIDGE 2 LEFT,0.000000,0
300_two_comp_30s,IPC 7 LEFT,6.533333,196
300_two_comp_30s,IPC 7 RIGHT,6.266667,188
300_two_comp_30s,IPC PAIR 1; IPC 6 RIGHT,6.100000,183
300_two_comp_30s,IPC PAIR 3; IPC 5 RIGHT,13.200000,396
300_two_comp_30s,IPC PAIR 4; IPC 3 RIGHT,6.433333,193
300_two_comp_30s,IPC PAIR 5; IPC 5 LEFT,6.400000,192
300_two_comp_30s,IPC PAIR 6; IPC 2 RIGHT,6.266667,188
300_two_comp_30s,K ; DPLAM MED _LEFT,7.733333,232
300_two_comp_30s,KC #0,7.400000,222
300_two_comp_30s,KC NO PAIR,18.500000,555
300_two_comp_30s,KC1,7.400000,222
300_two_comp_30s,KC10,7.533333,226
300_two_comp_30s,KC11,7.466667,224
300_two_comp_30s,KC2,7.400000,222
300_two_comp_30s,KC3,7.400000,222
300_two_comp_30s,KC4,7.400000,222
300_two_comp_30s,KC5,7.400000,222
300_two_comp_30s,KC7,7.400000,222
300_two_comp_30s,KC72,8.900000,267
300_two_comp_30s,L RIGHT (PN TO LH),0.000000,0
300_two_comp_30s,L1 RIGHT; (OLD) I OF GPHN RIGHT (IPSILATERAL PN TO BILATERAL LH),0.000000,0
300_two_comp_30s,L1: SHORT-PRESYNAPTICD-3-R,3.933333,118
300_two_comp_30s,LADDER (OLFACTORY) POST.,7.466667,224
300_two_comp_30s,LH-22 BLVA12 A 11 _RIGHT,3.600000,108
300_two_comp_30s,LN2;LEFT,0.000000,0
300_two_comp_30s,LN2;RIGHT,0.000000,0
300_two_comp_30s,LN3;RIGHT,0.400000,12
300_two_comp_30s,LN4;RIGHT,3.533333,106
300_two_comp_30s,LOCAL CRESCENT RIGHT,0.000000,0
300_two_comp_30s,LOWER LOOPING PN LEFT - AVM004,0.000000,0
300_two_comp_30s,LOWER LOOPING PN RIGHT - AVM004 (BALA1/2),7.400000,222
300_two_comp_30s,MAGIC WAND RIGHT (AF11),6.066667,182
300_two_comp_30s,MB2IN-162 LEFT; PDLR,0.000000,0
300_two_comp_30s,MBE12 RIGHT,14.533333,436
300_two_comp_30s,MBE13A RIGHT,10.966667,329
300_two_comp_30s,MBE13B RIGHT,7.500000,225
300_two_comp_30s,MBE15A LEFT,14.500000,435
300_two_comp_30s,MBE19 LEFT,7.400000,222
300_two_comp_30s,MBE1D LEFT,9.166667,275
300_two_comp_30s,MBE1D RIGHT,7.433333,223
300_two_comp_30s,MBE20 RIGHT,7.533333,226
300_two_comp_30s,MBE24A RIGHT,7.400000,222
300_two_comp_30s,MBE2A RIGHT,11.166667,335
300_two_comp_30s,MBE33 RIGHT,11.000000,330
300_two_comp_30s,MBE34 RIGHT,7.600000,228
300_two_comp_30s,MBE4A RIGHT,10.900000,327
300_two_comp_30s,MBE4F LEFT,10.933333,328
300_two_comp_30s,MBE4H LEFT,14.200000,426
300_two_comp_30s,MBE6 RIGHT,7.400000,222
300_two_comp_30s,MBON-F-V8;14+4 CELL BODY CLOSE TO OTHER RELAYS,0.000000,0
300_two_comp_30s,MBON-F-V8;14+4 CELL BODY CLOSE TO OTHER RELAYS THE OTHER SIDE,0.000000,0
300_two_comp_30s,MDNA_LEFT; PAIR 1 LEFT,9.633333,289
300_two_comp_30s,MDNA_RIGHT; PAIR 2 RIGHT,9.866667,296
300_two_comp_30s,MDNB_LEFT; PAIR 2 LEFT,9.666667,290
300_two_comp_30s,MDNB_RIGHT; PAIR 1 RIGHT,13.266667,398
300_two_comp_30s,MIXED BPL TERMINAL RIGHT,0.000000,0
300_two_comp_30s,MIXED POINTER-LIKE RIGHT,0.000000,0
300_two_comp_30s,ML_RIGHT,7.400000,222
300_two_comp_30s,MN_AN IACT PN RIGHT,0.000000,0
300_two_comp_30s,MPN BAMD1-G RIGHT,0.000000,0
300_two_comp_30s,MPN D RIGHT,0.000000,0
300_two_comp_30s,MPN IACT A1 RIGHT,0.000000,0
300_two_comp_30s,MPN IACT B1_LEFT,0.000000,0
300_two_comp_30s,MPN IACT B2 LEFT,0.000000,0
300_two_comp_30s,MPN IACT BILATERAL LOWER LEFT,0.000000,0
300_two_comp_30s,MPN IACT C2 LEFT,0.000000,0
300_two_comp_30s,MUNIN OUTPUT RIGHT - UNFINISHED,7.600000,228
300_two_comp_30s,NAG RIGHT,0.000000,0
300_two_comp_30s,NK_RIGHT,11.000000,330
300_two_comp_30s,OUTPUT OF HUGIN RIGHT,3.533333,106
300_two_comp_30s,OUTPUT OF MUNIN 3 LEFT - PAIR #1,0.533333,16
300_two_comp_30s,OUTPUT OF MUNIN 3 RIGHT - PAIR #1; CP4 9,0.733333,22
300_two_comp_30s,OUTPUT OF MUNIN LEFT 3,7.666667,230
300_two_comp_30s,PICKY 2 RIGHT,0.000000,0
300_two_comp_30s,PN OF GPHN TO LH (LEFT),0.000000,0
300_two_comp_30s,PN ONLY CONNECTS TO TOGETHERS RIGHT,0.200000,6
300_two_comp_30s,POSTERIOR VENTRAL NEURON RIGHT,7.266667,218
300_two_comp_30s,PPLV - 2 RIGHT (MAYBE PVL014C); BLP34 A 7,5.933333,178
300_two_comp_30s,PRE PMN RIGHT,10.066667,302
300_two_comp_30s,PRE-DORSAL-MAP PRESYNAPTIC-D-2-R LEFT,0.333333,10
300_two_comp_30s,PRE-GORO3 RIGHT,9.833333,295
300_two_comp_30s,PRESYNAPTIC-D-2-MAP-L LEFT,0.466667,14
300_two_comp_30s,PROJECTION FROM LH 1_RIGHT,2.933333,88
300_two_comp_30s,PUTATIVE 11H10 RIGHT,6.000000,180
300_two_comp_30s,PVC_RIGHT; BLP34 A 8,0.000000,0
300_two_comp_30s,PVL2 LEFT,3.600000,108
300_two_comp_30s,PVL2 RIGHT; BLP34 A 3,0.000000,0
300_two_comp_30s,RH5PR-1;RIGHT,0.000000,0
300_two_comp_30s,RH5PR-2;LEFT,0.000000,0
300_two_comp_30s,RH5PR-2;RIGHT,0.000000,0
300_two_comp_30s,RH5PR-4;LEFT,0.000000,0
300_two_comp_30s,RH6PR-1;LEFT,0.000000,0
300_two_comp_30s,RH6PR-1;RIGHT,0.000000,0
300_two_comp_30s,RH6PR-2;LEFT,0.000000,0
300_two_comp_30s,RH6PR-3;LEFT,0.000000,0
300_two_comp_30s,RH6PR-3;RIGHT,0.000000,0
300_two_comp_30s,RH6PR-4;LEFT,0.000000,0
300_two_comp_30s,RH6PR-4;RIGHT,0.000000,0
300_two_comp_30s,RH6PR-6;LEFT,0.000000,0
300_two_comp_30s,RH6PR-7;LEFT,0.000000,0
300_two_comp_30s,RH6PR-8;LEFT,0.000000,0
300_two_comp_30s,RH6PR-8;RIGHT,0.000000,0
300_two_comp_30s,RH6PR-9;LEFT,0.000000,0
300_two_comp_30s,ROSE 1 RIGHT,0.000000,0
300_two_comp_30s,RULER LIKE NEURON RIGHT,3.400000,102
300_two_comp_30s,SEZ CUP RIGHT,5.900000,177
300_two_comp_30s,SEZ-IN-A01-RIGHT,0.000000,0
300_two_comp_30s,SJ: DALV23 L LAL DOR POS 2_RIGHT,11.000000,330
300_two_comp_30s,SLEEPY LEFT,7.400000,222
300_two_comp_30s,SLEEPY-2 LEFT,7.466667,224
300_two_comp_30s,SLO_LEFT,0.000000,0
300_two_comp_30s,SLP2_RIGHT,0.000000,0
300_two_comp_30s,SOG INTO BRAIN CONTRALATERALLY LEFT - PAIRED WITH #3420915,0.266667,8
300_two_comp_30s,SOG INTO BRAIN CONTRALATERALLY RIGHT - PAIRED WITH #3622234,0.200000,6
300_two_comp_30s,SUCKERFISH PN RIGHT,6.800000,204
300_two_comp_30s,T NEURON_SIBLING RIGHT,3.333333,100
300_two_comp_30s,T3: PVLR_LEFT,3.666667,110
300_two_comp_30s,T3: PVLR_RIGHT,3.866667,116
300_two_comp_30s,T5; OFFPVL09_3_LARGE_RIGHT,9.666667,290
300_two_comp_30s,TELEPHONE-1R,3.533333,106
300_two_comp_30s,TELEPHONE-RELATED RIGHT,0.200000,6
300_two_comp_30s,THERMO KC B_RIGHT - MBI2 - UNKNOWN,7.666667,230
300_two_comp_30s,TOMATO VINE 2_RIGHT,12.933333,388
300_two_comp_30s,TRY5THLN_SIBLING 35 RIGHT,0.000000,0
300_two_comp_30s,TWO-HEADED COBRA LEFT,7.400000,222
300_two_comp_30s,UNK BASAL RIGHT; DL-LH_CAND2,0.000000,0
300_two_comp_30s,UNK BRAIN ASCENDING LEFT,0.000000,0
300_two_comp_30s,UNK BRIDGE RIGHT; AF6: MUNIN OUTPUT RIGHT,0.333333,10
300_two_comp_30s,UNK TRIPLE BRANCH LEFT,0.000000,0
300_two_comp_30s,UNK TRIPLE BRANCH RIGHT; IPSILATERAL BPL INTERNEURON (HOOK TARGET),0.000000,0
300_two_comp_30s,UPPER LOOPING PN LEFT - AVM004,0.000000,0
300_two_comp_30s,UPPER LOOPING PN RIGHT - AVM004 (BALA1/2),0.200000,6
300_two_comp_30s,V'TD_VNC_A7R,0.000000,0
300_two_comp_30s,V1: POSSIBLE PVL005 - 3 RIGHT,0.600000,18
300_two_comp_30s,VB: DPMM1 4_LEFT,9.566667,287
300_two_comp_30s,VB: DPMM1 4_RIGHT,9.800000,294
300_two_comp_30s,VENTRAL LN RIGHT,0.000000,0
300_two_comp_30s,VINE LEFT,0.000000,0
300_two_comp_30s,WS: FROM OLFACTORY TO HUGIN INTERNEURON LEFT,0.000000,0
300_two_comp_30s,WS: FROM OLFACTORY TO HUGIN INTERNEURON RIGHT,0.266667,8
300_two_comp_30s,Y ; DALCM12 L M ANT LAT 2_RIGHT,3.266667,98
300_two_comp_30s,Y NEURON LEFT,0.066667,2
300_two_comp_30s,Z: CONTRA_LEFT,7.666667,230

